text_es,text_en
ARTROSCOPIA MANGUITO ROTADOR,ROTATOR Cuff ARTHROSCOPY
MIOMECTMIA POR LAPAROTOMIA,MYOMECTMY BY LAPAROTOMY
IQ: TENOSINOVECTOMÍA FLEXORES MANO UNO O MAS,IQ: HAND FLEXOR TENOSINOVECTOMY ONE OR MORE
DESCOMPRESION ENDOSCOPICA,ENDOSCOPIC DECOMPRESSION
DESCOMPRESION DEL TUNEL DEL CARPO,CARPAL TUNNEL DECOMPRESSION
CIRUGIA DE CABEZA Y CUELLO DE ALTA COMPLEJIDAD,HIGH COMPLEXITY HEAD AND NECK SURGERY
CIRUGÍA RECONSTRUCTIVA MÚLTIPLE DE MI,MI MULTIPLE RECONSTRUCTIVE SURGERY
ENDOSCOPIA VDA .,VDA ENDOSCOPY.
ESTERIIZACION FEMENINA POR LAPAROSCOPIA,FEMALE STERIIZATION BY LAPAROSCOPY
RESECCIN,RESECTION
LAPAROSCOPIA DIAGNOSTICA,DIAGNOSTIC LAPAROSCOPY
RESECCIÓN DE TU OR DE OVARIO,OVARIAN OR RESECTION
CESÁREA .,CESAREAN SECTION.
ARTROSCOPIA RODILLA DERECHA,RIGHT KNEE ARTHRSCOPY
CIERRE COLOSTOMIA,COLOSTOMY CLOSURE
S ABLACION DE LESION RETINAL POR LASER AMBOS OJOS,S ABLATION OF RETINAL LESION BY LASER BOTH EYES
"IQ: ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS III Y IV POR LAPAROSCOPIA, ...,""IQ: EXCISION AND ABLATION OF ENDOMETROSIS STATES III AND IV BY LAPAROSCOPY, ..."""
ORQUIDECTOMIA,ORCHIDECTOMY
EVDA,EVDA
OSTEOTOMIA DE TIBIA,TIBIA OSTEOTOMY
RESECCION,RESECTION
ARTROSCOPIA DE RODILLA MENISCO Y CONDROPLASTIA,KNEE MENISCUS ARTHROSCOPY AND CHONDROPLASTY
CIRUGÍA ORTOGNÁTICA .,ORTHOGNATIC SURGERY.
ARTROSCOPIA RODILLA IZQ,LEFT KNEE ARTHROSCOPY
IQ: CIRUGIA ONCOLOGICA ORTOPEDICA COMPLEJIDAD MEDIANA,IQ: MEDIUM COMPLEXITY ORTHOPEDIC ONCOLOGICAL SURGERY
"IQ: PROSTATECTOMIA RADICAL POR LAPAROSCOPIA, LINFADENECTOMIA RADICAL PELVICA VIA LAPAROSCOPICA,""IQ: RADICAL PROSTATECTOMY BY LAPAROSCOPY, PELVIC RADICAL LYMPHADENECTOMY VIA LAPAROSCOPIC"""
RETIRO DE MATERIAL DE OSTEOSISNTESIS MUÑECA IZQUIERDA,REMOVAL OF OSTEOSISNTHESIS MATERIAL LEFT WRIST
RNM COLUMNA LUMBAR CON CONTRASTE,LUMBAR SPINE MRI WITH CONTRAST
NEFROLITOTOMIA PERCUTANEA,PERCUTANEOUS NEPHROLITHOTOMY
RESECCION GANGLION MANO IZQ,LEFT HAND GANGLION RESECTION
HERNIORRAFIA UMBILICAL,UMBILICAL HERNIORRHAPHY
"IQ: ARTRODESIS CALCANEOCUBOIDEA VIA ABIERTA, ARTRODESIS TALONAVICULAR VIA ABIERTA, ARTRODESIS SUBTALAR VIA ABIERTA,""IQ: CALCANEOCUBOID ARTHRODESIS VIA OPEN, TALONAVICULAR ARTHRODESIS VIA OPEN, SUBTALAR ARTHRODESIS VIA OPEN"""
IQ: REMODELACION DE MENISCO MEDIAL Y LATERAL POR ARTROSCOPIA,IQ: MEDIAL AND LATERAL MENISCUS REMODELING BY ARTHROSCOPY
DONANTE DE RIÑON PARA TRASPLANTE,KIDNEY DONOR FOR TRANSPLANTATION
ARTROSCOPIA DE RODILLA,KNEE ARTHRSCOPY
LOBECTOMÍA INFERIOR IZQUIERDA + VACIAMINETO GANGLIONAR POR TORACOSCOPIA .,LEFT LOWER LOBECTOMY + NON EMPTYING BY THORACOSCOPY.
"EVDA , COLONOSOCOPIA,""EVDA, COLONOSOCOPY"""
RMN DE CADERA,HIP MRI
CISTOSCOPIA .,CYSTOSCOPY.
RMN CEREBRO,BRAIN MRI
RMN CEREBRO .,BRAIN MRI.
CIRCUNSCION,CIRCUMSTANCE
IQ: EXTRACCIÓN DE CUERPO EXTRAÑO INTRAARTICULAR EN MUÑECA POR ARTROTOMÍA,IQ: REMOVAL OF INTRAARTICULAR FOREIGN BODY IN WRIST BY ARTHROTOMY
FACO + LIO OD .,PHACO + IOL OD.
RMN CEREBRAL,BRAIN MRI
RESECCION CON LASER,LASER RESECTION
CESAREA MAS POMEROY,CESAREA MAS POMEROY
BIOPSIA DE MSA SUBMAXILAR,SUBMAXILLARY MSA BIOPSY
HIDROCELECTOMIA,HYDROCELECTOMY
RESECCION DE LESIONES EN PIEL VARIOS LUGARES ANATOMICOS,RESECTION OF SKIN LESIONS IN VARIOUS ANATOMIC PLACES
"IQ: DIVISIÓN DE CAPSULA. LIGAMENTO O CARTÍLAGO ARTICULAR DE HOMBRO POR ARTROSCOPIA, ...,""IQ: CAPSULE DIVISION. LIGAMENT OR ARTICULAR CARTILAGE OF THE SHOULDER BY ARTHROSCOPY, ..."""
"IQ: CAPSULORRAFIA DE HOMBRO POR ARTROSCOPIA, SUTURA DEL TENDON [TENODESIS] BICIPITAL POR ENDOSCOPIA,""IQ: SHOULDER CAPSULORRHAPHY BY ARTHROSCOPY, BICIPITAL TENDON [TENODESIS] SUTURE BY ENDOSCOPY"""
"FISTULECTOMIA ANAL , ESFINTEROTOMÍA ANAL .,""ANAL FISTULECTOMY, ANAL SPHINTEROTOMY."""
RECONSTRUCCIÓN E MAMA IZQUIERDA .,RECONSTRUCTION AND LEFT BREAST.
RECONSTRUCCION DE TENDONES PERONEOS .,RECONSTRUCTION OF PERONEAL TENDONS.
"RESECCION GANGLION, TENOSINOVECTOMIA,""GANGLION RESECTION, TENOSYNOVECTOMY"""
RETIRO DE MATERIAL DE OST AMBOS FEMURES,REMOVAL OF MATERIAL FROM BOTH FEMURES
ORQUIECTOMÍA,ORCHIECTOMY
TIMPANOPLASTIA ENDOSCOPICA Y CANALOPLASTIA OD,ENDOSCOPIC TYMPANOPLASTY AND OD CANALOPLASTY
TIMPANOPLASTIA + REVISION OIDO MEDIO,TYMPANOPLASTY + MIDDLE EAR REVISION
BRONCOSCOPIA,BRONCHOSCOPY
NEFROLITOTOMIA DERECHA .,RIGHT NEPHROLITHOTOMY.
"IQ: COLPORRAFIA POSTERIOR, COLPORRAFIA ANTERIOR CON PLASTIA O REPARACIÓN DE URETROCELE,""IQ: POSTERIOR COLPORRHAPHY, ANTERIOR COLPORRHAPHY WITH URETHROCELE PLASTY OR REPAIR"""
VITRECTMIA + FIJACIO´N ESCLERAL.,VITRECTMY + SCLERAL FIXATION.
"QUIMIO INTRATECAL ,PL,""INTRATHECAL CHEMIO,PL"""
"RESECCIÓN Y COLGAJO, RESECCION TOTAL DE ORBITA,""RESECTION AND FLAP, TOTAL ORBIT RESECTION"""
BIOPSIA HUESO,BONE BIOPSY
IQ: EXTRACCION DE CUERPO EXTRAÑO INTRAUTERINO POR HISTEROSCOPIA,IQ: INTRAUTERINE FOREIGN BODY REMOVAL BY HYSTEROSCOPY
LIGADURA VARICES ESOFAGCAS,ESOPHAGEAL VARICOSE LIGATION
HERNIORRAFIA UMBILICAL.,UMBILICAL HERNIORRHAPHY.
CIRUGÍA DE MOHS .,MOHS SURGERY.
RMN DE HIPÓFISIS .,PITUITARY MRI.
CIRUGIA ESTEREOTAXICA,STEREOTAXIC SURGERY
"AMIGDALECTOMIA, TURBINOPLASTIA,""TONSILLECTOMY, TURBINOPLASTY"""
TIMPANOPLASTIA,TYMPANOPLASTY
ECOENDOSCOPIA DE ESOFAGO,ESOPHAGEAL ECOENDOSCOPY
HERNIORRAFIA UMBILICAL .,UMBILICAL HERNIORRHAPHY.
HEMITIROIDECTOMIA DERECHA .,RIGHT HEMITYROIDECTOMY.
CORRECCION QCA LABIO,QCA LIP CORRECTION
HISTEROSCOPIA MAS BIOPSIA,HYSTEROSCOPY PLUS BIOPSY
CUADRANTECTOMÍA MAMA DERECHA,RIGHT BREAST QUADRANTECTOMY
